Judul,Keterangan
"Fakta Baru Kasus Wanita Tewas Tertancap Bambu, Korban Dibunuh oleh Pacarnya Sendiri",NonClickbait
"Sejoli Mahasiswa Nekat Curi Televisi di Tempatnya Menginap, Ngaku untuk Main Game di Kos",NonClickbait
"Berduaan di Mobil, Imam Kampung Beristri dan Janda 4 Anak Dinikahkan, Maskawin Uang Rp 200 Ribu",NonClickbait
Astaga! Pria Muda di Jatinegara Gantung Diri Live Lewat TikTok,Clickbait
Benarkah Fadli Zon Terdepak dari Jabatan Wakil Ketum Gerindra? Ini Penjelasan Andre Rosiade,Clickbait
Penjelasan Lengkap Polri soal Ustadz Maaher Meninggal di Rutan Bareskrim,NonClickbait
Pengacara Sebut Ustadz Maaher Sempat Ajukan Pembantaran Sebelum Meninggal,NonClickbait
"Ustadz Maaher Meninggal Dunia, Sakit Apa?",Clickbait
"Astaga! Ayah di Labuhanbatu Paksa Bayi Isap Rokok, Ini Motifnya",Clickbait
"Visa Jangka Panjang Turis Asing, Berlaku 5 Tahun, Setor Deposit Rp 2 Miliar",NonClickbait
"Mau PPKM Mikro, Ini Daftar Daerah Masuk Zona Merah per 7 Februari",Clickbait
"Hotel di Bandung Terancam Bangkrut, Ini Tanggapan Pemkot",Clickbait
Foto: Melihat Cantiknya Nusakambangan dari Pangandaran,NonClickbait
Wanita Susah Klimaks? 4 Variasi Seks Ini Harus Banget Dicoba,Clickbait
"Nindy Ayunda Dibanting Suami, 7 Artis Ini Juga Alami KDRT Saat Menikah",Clickbait
Ingin Mr P Terlihat Lebih Besar? 3 Cara Ini Bisa Dicoba,Clickbait
Potret Kawasan Wisata yang Kabarnya Jadi Tempat Pesugihan,Clickbait
"Dipanggil Shin Tae-yong, Kiper Muda Persib Ungkap Harapan dan Persiapan",NonClickbait
3 Tips dari CT Agar Pebisnis Bertahan di Situasi Sulit Pandemi,Clickbait
"Peluru Ini Jadi Bukti Indonesia Pernah Perang dengan Malaysia, Ditemukan TNI di Hutan",Clickbait
"Potret Persahabatan 2 Jenderal, Bersama Sejak Muda Bernasib Sama Jadi Kapolri",Clickbait
"Lama Menghilang, Begini Potret Terbaru Artis Uli Auliani jadi Top Model di Amerika",Clickbait
Anak Di Atas Usia 2 Tahun Tak Direkomendasikan untuk Konsumsi Susu Formula,NonClickbait
Ngeri! Ribuan Orang Positif Covid Beredar di Mal Cs,Clickbait
"Lihat Potret Nagita Slavina Hingga Iis Dahlia dengan Sang Ibu saat Muda, Kayak Kembar",Clickbait
Orangnya Prabowo Unggah Foto Natalius Pigai Semeja dengan Abu Janda,NonClickbait
Dua Terduga Teroris di Kepulauan Bangka Belitung Ditangkap,NonClickbait
"Hakim Sebut Pinangki dan Anita Kerap Urus Perkara, Termasuk Grasi Bekas Gubernur Riau",NonClickbait
"Majelis Hakim Akui Ada Sosok King Maker di , Siapa Dia?",Clickbait
"Partai Demokrat Tetap Ngegas Minta Revisi UU Pemilu, Partai Koalisi Pemerintah Menolak",NonClickbait
"Tujuh Fakta Penganiayaan Seorang Kakek di Rumah Janda, Begini Nasib Kedua Korban",Clickbait
"Soal Kelanjutan Program Jateng di Rumah Saja, Ini Kata Ganjar Pranowo",Clickbait
7 Penyebab Dada Sesak Selain Sakit Jantung yang Jarang Diketahui,Clickbait
"Akibat Pandemi, Bule Ini Terdampar 8 Bulan di Bali & Bertahan Hidup dengan Jual Teh",Clickbait
Nekat! Penumpang Melompat Keluar Saat Pesawat akan Lepas Landas,Clickbait
Banjir Pujian! Driver Ojol Ini Beberkan Kondisi Restoran yang Kotor dan Jorok,Clickbait
"Resmi Berusia 63 Tahun, Apa Capaian Penting yang Diraih Pertamina?",Clickbait
Ngeri! WHO Sebut Tsunami COVID-19 di India Lebih Buruk dari yang Dilaporkan,Clickbait
BPOM Susun Petunjuk Vaksinasi Covid-19 untuk Lansia di Atas 60 Tahun,Clickbait
Deputi KSP: Pemerintah Selesaikan Masalah Kebebasan Beragama dan Berkeyakinan,NonClickbait
"Fakta Vonis 10 Tahun Penjara Pinangki, Biasa Urus Kasus Hingga Rincian Pencucian Uang Rp 5,25 Miliar",NonClickbait
Relawan Buruh for Jokowi Minta Jangan Seret Presiden dalam Dugaan Kudeta Partai Demokrat,NonClickbait
"Sebelum Tewas Tertusuk Bambu, Weni Tania Akui Masih Ingin Berpacaran Walaupun Pelaku Selingkuh",NonClickbait
"Dipenjara di Iran Usai Dituduh Sebagai Mata-Mata, Wanita Ini Dengar Suami Selingkuh dengan Rekannya",Clickbait
"Viral Seorang Siswa Baca Puisi Bertema Ayah saat Ujian Praktik, Guru Beri Emoji Wajah Datar",Clickbait
"Sejarah Lagu Genjer-genjer yang Viral di TikTok, Ekspresi Kemiskinan pada Masa Pendudukan Jepang",Clickbait
"Pinangki Divonis 10 tahun penjara, MAKI: Sebaiknya Jadi Justice Collaborator Ungkap Siapa King Maker",NonClickbait
"Diduga Sakit Hati Gaji Dipotong, Karyawan J&T Express Malaysia Ubrak-abrik Paket",NonClickbait
Kisah 'Real Pasutri' Tawarkan Threesome Berujung Masuk Sel Tahanan,NonClickbait
Dino Patti Djalal Ungkap Rumah Ibunya Jadi Korban Mafia Sertifikat Tanah,NonClickbait
"Bisa Jadi Bom Waktu, Pakar Epidemiologi Minta PPKM Mikro Dibatalkan",NonClickbait
Merinding! Ada Suara Tangis Perempuan Misterius saat Webinar Andy F Noya,Clickbait
Terkini! Momen Contraflow di Tol Cipali,Clickbait
Resmi! PNS Dilarang Bepergian Selama Libur Imlek,Clickbait
"MU Vs West Ham: Sudah Waktunya Istirahatkan Maguire, Solskajer?",Clickbait
Ini Cara Tuchel Supaya Timo Werner Bikin Gol Lagi,Clickbait
Riwayat TB Usus di Balik Meninggalnya Ustadz Maaher,NonClickbait
"Ada Titik Terang, Sebentar Lagi Misteri Asal Usul COVID-19 Terpecahkan!",Clickbait
Stres Usai Seharian Bekerja? 5 Posisi Seks Ini Bisa Bantu Mengatasinya,Clickbait
"Lebih Nyaman, Sandiaga Ajak Pelaku Wisata Gunakan GeNose",NonClickbait
Kurang Percaya Diri? Ini 3 Nutrisi Alami untuk Memperbesar Mr P,Clickbait
"Dikasih Buat Zakat, Berapa Gaji Menparekraf Sandiaga Uno?",Clickbait
5 Tips Foreplay yang Bikin Wanita Kelepek-kelepek Saat Bercinta,Clickbait
"Hadirkan Pengalaman Berbeda, Lakukan 5 Aktivitas Anti-Mainstream Ini Saat Berlibur di Swiss",Clickbait
Keluarga Bantah Kabar Maaher At-Thuwailibi Meninggal karena Disiksa Saat Ditahan,NonClickbait
"Tentang Buku 'Pak Ganjar Tidak Pernah Bersyukur', Penerbit: Tidak Ada Tendensi Sama Sekali",NonClickbait
Mau Dapat Bantuan Subsidi KPR Rp 40 Juta? Cek Syaratnya di Sini,Clickbait
Integrasi BUMN untuk Usaha Ultra Mikro Perlu Diwujudkan,NonClickbait
"Tulungagung Ikut Terapkan PPKM Mikro, Ini Upaya yang Dilakukan untuk Tekan Covid-19",Clickbait
Dubes China: AS Juga Perlu Diperiksa Soal Asal Usul Covid-19,NonClickbait
"Tak Ungkap Penyakit Maaher At-Thuwailibi, Polri Khawatir Coreng Nama Baik Keluarga",NonClickbait
PSI Sebut Program Normalisasi Sungai Dihapus Anies di Draf Perubahan RPJMD,NonClickbait
"Gara-gara Perempuan, Olimpiade Tokyo Bisa Gagal",Clickbait
Prediksi Line-up Juventus Vs inter Milan - Menanti Duel Romelu Lukaku Vs Cristiano Ronaldo,NonClickbait
Trump Resmi Dituntut atas Telepon 'Minta Suara' Pilpres AS di Georgia,NonClickbait
Mengapa Militer Myanmar Sangat Kuat?,Clickbait
"Potret Ahmad Bonnaldi, Putra Jenderal Suhardi Alius Ganteng & Gagah Bikin Salfok",Clickbait
"Viral Pasukan TNI Lama Tak Pulang Bertugas, Orang yang Dirindukannya Bikin Haru",Clickbait
Rhoma Irama Nyerah sama Kelakuan Ridho Dua Kali Terjerat Kasus Narkoba,NonClickbait
7 Cara Membuat Anda Terlihat Lebih Menarik Menurut Sains!,Clickbait
"Dilamar Pemuda Indonesia, Ini Potret Edanur Yildiz Gadis Turki Cantiknya Minta Ampun",Clickbait
Ganti Nama demi Perbaikan Rezeki Ala Thailand,NonClickbait
"Bikin Merinding, Ernest Prakasa Pakai Kulit Ular Bekas Shedding Jadi Aksesoris Casing HP",Clickbait
Begini Antisipasi Karhutla oleh Pemerintah di Tahun 2021 Menurut Mahfud MD,Clickbait
"Tesla Beli Bitcoin Rp 21 Triliun, Harga Bitcoin Tembus Rp 650 Juta",NonClickbait
Jubir Istana Fadjroel Rachman Minta Masyarakat Belajar dari Media Soal Cara Mengkritik Pemerintah,Clickbait
Cerita Isuzu Panther Muhamamad Sudi Terseret Banjir Lahar Dingin Gunung Semeru,NonClickbait
DPRD Kabupaten Gresik Sesalkan Pemkab Telat Beri Honor 2 Bulan,NonClickbait
"Ngebut Naik CBR, Anak Wakil Bupati Karanganyar Tewas Kecelakaan Usai Menghantam Avanza",NonClickbait
Truk Colt Diesel FE 74S Diketahui Angkut Rokok Tanpa Cukai di Tol Semarang-Batang,NonClickbait
"Ending Kisah Anak Gugat Orangtua Rp 3 Miliar di Bandung, Penggugat dan Tergugat Capai Kesepakatan",NonClickbait
"Indentitas Mayat yang Terapung di Perairan Pangandaran Diketahui, Ternyata Warga Jambi",NonClickbait
Video Detik-detik Keranda Berisi Jenazah Diangkut Perahu Karet di Tengah Kepungan Banjir di Bekasi,Clickbait
Kemdikbud Minta Penulis Bijak Pilih Nama Usai Viralnya Buku SD Sebut Pak Ganjar Tak Pernah Bersyukur,Clickbait
Penerbit Angkat Suara Soal Viral Nama Ganjar yang di Buku Disebut Tak Pernah Bersyukur,Clickbait
"Kunjungi Yordania, Ini Sederet Isu yang Dibahas Menlu Retno dengan Menlu Ayman",Clickbait
Legislator PKS Singgung Dugaan Korupsi di BPJS Ketenagakerjaan,NonClickbait
"Sosok Santri yang Beri Uang Rp 200 Ribu untuk Bantu Keluarga, Sisihkan Uang Jajan saat di Pesantren",Clickbait
"Kemunculan 2 Ekor Buaya Buat Resah Warga di Bandar Lampung, Kerap Sembunyi di Gorong-gorong",NonClickbait
"Info Cuaca Rabu, 10 Februari 2021, BMKG: Waspada Hujan Lebat Disertai Angin kencang di 21 Daerah",NonClickbait
"Diputus Pacar karena hanya Lulusan SMA, Pria di Medan Ini Sukses Buka Usaha Kafe",Clickbait
"Gempa M 7,7 Terjadi di Pasifik Selatan, Peringatan Tsunami Dikeluarkan",NonClickbait
"Baru Putus, Mantan Pacar Jerome Boateng Meninggal Dunia",NonClickbait
Mulut Manis Orangtua Ayu Ting Ting yang Berubah Pahit ke Adit Jayusman,NonClickbait
7 Potret Hailey Bieber Disebut Nangis karena Fans Teriak Nama Selena Gomez,Clickbait
5 Fakta Menarik Queen's Gambit yang Dapat 11 Nominasi di Emmy Awards 2021,Clickbait
Ini Efek Samping Terlalu Banyak Minum Vitamin Sesuai Jenisnya,Clickbait
"8 Cuitan Kocak Netizen Belajar dari Rachel Vennya, Bikin Kemendikbud 'Nangis'",Clickbait
"Sosok Pemilik Toko Emas di Bandung yang Dibunuh Perampok, Tertutup dan Pernah Dilaporkan Warga",Clickbait
"5 Potret Cantik Putri Tukul Arwana yang Beranjak Dewasa, Penampilannya Curi Perhatian",Clickbait
Apa Itu Gerabah? Ini Pengertian dan Contoh Karya Seni Gerabah,Clickbait
Ini Sanksi yang Diberikan Pemerintah pada Warga yang Menolak Disuntik Vaksin Covid-19,Clickbait
"Pria Tanpa Identitas Tewas Dibunuh di Pasar Induk Caringin Bandung, Begini Kronologinya",Clickbait
"VIRAL Pria Potong Kepala Kucing Gunakan Kapak di Batam, Pelaku Ditangkap dan Terungkap Alasannya",Clickbait
"8 Balasan Chat Penipuan Ini Endingnya Kocak Abis, Ngakak Sampai Bengek!",Clickbait
"Viral Kisah Mertua Toxic Bikin Geram, Lakukan Tes DNA ke Cucunya Diam-diam",Clickbait
Cerita Pembawa Berita Wanita di Afghanistan saat Tampil di TV: Takut tapi Tetap Tersenyum,NonClickbait
"Viral Pengantian Wanita Rias Sendiri Tanpa MUA, Hasilnya Tuai Pujian dan Bikin Haru",Clickbait
"Viral Kisah Wanita Bikin Souvenir Nikahan Sendiri, Videonya Tuai Pujian: Senang Bisa Jadi Referensi",Clickbait
"Fakta-fakta Adik Habisi Kakak di Palembang, Emosi Pohon Kelapanya Ditebang, Ini Penyesalan Pelaku",NonClickbait
Polda Metro Akan Panggil Polisi Viral Tak Jadi Tilang Gegara 'CCTV',Clickbait
Mengerikan Rusuh Capitol Terungkap Saat Trump Hadapi Pemakzulan,NonClickbait
"Usai Diamuk Massa, Istri Lansia di Bima Diduga Dukun Santet Meninggal",NonClickbait
"Duh, Bintang Muda MU Didenda Gegara Dokumen Palsu",Clickbait
"Pasien Aborsi di Bekasi Punya Suami, Ini Alasan Pelaku Gugurkan Janin",Clickbait
Ribut Conte-Agnelli Berlanjut di Lorong Stadion?,Clickbait
"7 Potret Pasangan Artis Mesra di Bathtub, Ririn Ekawati Hingga Shandy Aulia",Clickbait
Mau Wisata di Bandung? Ini 5 Villa Private Pool untuk Staycation,Clickbait
"Isuzu MU-X Meluncur di RI Tahun Ini, Siap Tantang Pajero Sport-Fortuner",NonClickbait
Catat! 4 Hal yang Bikin Sesi 'Ena-ena' Jadi Tak Tahan Lama,Clickbait
"10 Pantangan Saat Bercinta, Jaminan Libido Ngedrop kalau Dilanggar",Clickbait
"Space Sweepers, Film Korea Pertama Bertema Luar Angkasa",NonClickbait
Bikin Merinding! Ular 7 Meter Telan Anak Sapi di Maros Ditangkap,Clickbait
Catat! Daftar Aturan Diperketat Anies karena Lonjakan Tajam Corona di DKI,Clickbait
Gila! De Bruyne Main dengan Wajah yang Mati Rasa,Clickbait
"10 Model Seksi Ini 'Dipensiunkan' Victoria's Secret, Tak Lagi Jadi Angel",Clickbait
Diborgol! Ini Tampang Adelin Lis Buron Pembalakan Liar,Clickbait
"5 FAKTA Wanita Pemijat di Surabaya Dirudapaksa 3 Pemuda, Suami Korban Panik Lihat Istrinya Pingsan",Clickbait
"Terlalu Sering Seks Oral, Adakah Risikonya? Ini Kata Dokter Gigi",Clickbait
"Kartika Putri Curhat Sampai Nangis, Ngaku Keluarga Dibully karena Dirinya",NonClickbait
"Salah Satu yang Terbanyak di RI, Jateng Punya 6 Zona Merah COVID-19",NonClickbait
"Penderita Kanker Diperbolehkan Ikut Vaksinasi Covid-19, Ini Syaratnya",Clickbait
Cerita Karyawan Kantor Diganggu Hantu di Siang Bolong Bikin Merinding,NonClickbait
Chord Gitar dan Lirik Lagu 'Pecah Seribu' Dipopulerkan Elvy Sukaesih,NonClickbait
Aroma Suap dalam Kontrak 12 Pesawat Bombardier yang Rugikan Garuda,NonClickbait
"Selama PPKM Mikro Berlaku di DIY, 104 Destinasi Wisata Tetap Beroperasi",NonClickbait
Garuda Putuskan Kontrak Pesawat yang Merugikan,NonClickbait
"Olimpiade Tokyo, Lidah ""Tajam"" Muto Kecewakan Sponsor",NonClickbait
"Awal Maret 2021, Wartawan di Grobogan Akan Divaksin",NonClickbait
"Link Live Streaming Swansea Vs Man City, Kickoff 00.30 WIB",NonClickbait
"Tak Tahan Sering Dipukul Anak Kandungnya, Ibu Ini Akhirnya Lapor Polisi",Clickbait
"Terindikasi Money Game, OJK Ajukan Pemblokiran TikTok Cash ke Kominfo",NonClickbait
"Parkir Liar di Depan Kalibata City, 211 Motor Dicabut Pentilnya",NonClickbait
Satgas Yakin PPKM Mikro Akan Efektif Tekan Laju Penularan Covid-19,NonClickbait
"BIKIN NGAKAK! Ini Curhatan Warga Soal Macet Jalan Kopo Bandung, Ada yang Sampai Resign Kerja",Clickbait
Upaya Inggris Kendalikan Covid-19: Hukum 10 Tahun Penjara Pelancong yang Bohong,NonClickbait
Ini Strategi Pemerintah untuk Kejar Target Vaksinasi Covid-19,Clickbait
"Ngakak! 10 Editan Foto Makan Bareng Artis, BLACKPINK hingga Justin Bieber",Clickbait
"Tiga Jam, Pulau Enggano Diguncang Enam Kali Gempa",NonClickbait
"Fakta Terbaru Kondisi Keuangan Barcelona Terungkap, Jadi Klub Paling Boros di Eropa",NonClickbait
"Sevilla Vs Barcelona, Ter Stegen Punya Rekor Gemilang atas Tuan Rumah",NonClickbait
"Puluhan Motor, Mobil, hingga Kontainer Curian Gagal Dikirim ke Luar Negeri, 5 Pelaku Ditangkap",NonClickbait
"Olimpiade Tokyo, Per Empat Hari Sekali, Atlet Jalani Tes Covid-19",NonClickbait
"Ribuan Rumah di Keerom Papua Kebanjiran, 4.700 Jiwa Terdampak",NonClickbait
"TNI Dikerahkan untuk Penelusuran Covid-19, Anggota DPR: Pendekatannya Harus Tetap Santun",NonClickbait
"Jalur Dieng-Wonosobo Tertutup Longsor, Macet Total hingga Lima Jam",NonClickbait
Polri Ingatkan Ancaman Pidana Penyebar Hoaks Kematian Ustaz Maheer At Thuwailibi,NonClickbait
"Kemenkes: Rapid Test Antigen untuk Diagnosis, Jangan Jadi Syarat Perjalanan",NonClickbait
Jubir Presiden: Publik Harus Bedakan Mana Kritikan dan Hoaks,NonClickbait
Setitik Asa Bagi Rohingya Setelah Kudeta,NonClickbait
Kronologi Sertifikat Tanah Milik Orangtua Dino Patti Djalal Berubah Nama di BPN,NonClickbait
"Keindahan Padang Edelweis Terluas se-Asia Tenggara di Tegal Alun, Papandayan",NonClickbait
"Infinix Resmi Bawa HOT 10 PLAY ke Indonesia, Harganya?",Clickbait
"Gerebek Rumah Ajudan Dinikahi Perwira TNI, Istri Kasad Salfok sama Pisau di Dapur",Clickbait
"Jarang Tersorot, Ini Potret Ayah Almarhum Syekh Ali Jaber, Wajahnya Mirip",Clickbait
"Lamaran Diterima, Ini Potret Romantis & Serasi Pemuda RI dengan Gadis Turki",Clickbait
"Bikin Ngakak! Demi Bisa Curi Makanan, Bocah Ini Ngumpet di Tudung Saji",Clickbait
Gubernur Anies Baswedan Ingatkan Warga DKI untuk Tidak Berpergian di Libur Imlek,NonClickbait
"Percepat Testing Covid-19, Kemenkes Minta Masyarakat Tak Kaget Jika Kasus Positif Melonjak",NonClickbait
BPIP: Peta Jalan Pendidikan Diperlukan Indonesia Agar Siswa Tak Jadi Kelinci Percobaan,NonClickbait
Bikin Ngakak! Ini 7 Aksi Petani yang Nyeleneh dan Terlalu Kreatif,Clickbait
"Tegaskan Nama Ganjar Tak Terkait Gubernur Jateng, Tiga Serangkai akan Tarik Buku dan Merevisi",NonClickbait
Tersangka Nurhadi Minta Hadirkan Adik Ipar untuk Konfrontir Keterangan Saksi Freddy Setiawan,NonClickbait
"Pengamat Nilai BSU untuk Karyawan Masih Diperlukan, Lebih Baik Dibanding Program",NonClickbait
Bupati Bekasi: Kampanye Pentahelix 5 Juta Masker Aice Group Perkuat Pemberantasan PandemI,NonClickbait
Update 10 Februari : 969. 546 Nakes Terima Suntikan Vaksin Covid-19 Dosis Pertama,NonClickbait
Tersangka Nurhadi Juga Terima Bayaran Usai Menangkan Gugatan Cerai Harta Gono-Gini,NonClickbait
"Kisah Srikandi Papua Berjuang Jadi Prajurit TNI, Dari Karyawan Toko Hingga Ikuti Jejak Sang Kakak",NonClickbait
Kisah Sepasang Kekasih di Tangerang Terkena Covid-19 Seminggu Sebelum Hari H Pernikahan,NonClickbait
"Lihat Orang Buang Sampah di Tempat Parkir, Wanita Ini Langsung Mengambil dan Coba Kembalikan",Clickbait
"Ngakak! Minta Nomor Barista Cantik di Kafe, Pria Ini Terkejut Saat Tahu Kenyataannya",Clickbait
"Peringatan BMKG Kamis, 11 Februari 2021: Waspadai Gelombang Tinggi di Laut Natuna Utara",NonClickbait
KPK Jebloskan Eks Direktur Keuangan PT Angkasa Pura II ke Lapas Cibinong,NonClickbait
"Kenang Tragedi Jatuhnya Sriwijaya Air SJ 182, Pria Ini Buat Video Selama Tiga Hari",Clickbait
DPR Tetapkan Anggota Pansus RUU Otsus Papua,NonClickbait
"Warji: Ikuti Panduan Tanam, Panen di Food Estate Kalteng Memuaskan",NonClickbait
"Jasad arkeolog penyelamat kota kuno Palmyra, yang kepalanya dipenggal ISIS, ditemukan",NonClickbait
"Terbukti Tak Berasal dari China, Beijing Balas Minta AS Undang WHO Selidiki Asal Mula Corona di Sana",NonClickbait
Kemnaker Tingkatkan Kompetensi Lebih dari 900 Ribu Orang di Tahun 2020,NonClickbait
DPR Sebut Saat Ini Belum Perlu Pansus Dugaan Korupsi BPJS Ketenagakerjaan,NonClickbait
"Kemenkominfo Blokir Tiktokcash.com, Situs yang Menjanjikan Uang Lewat Nonton Video",NonClickbait
"Viral Sepasang Kekasih Kenang Masa SMA 10 Tahun Lalu, Begini Cerita di Baliknya",Clickbait
"Detik-detik Penusukan Plt Kepala Dinas Parekraf DKI Terekam CCTV, Pelaku Sempat Berusaha Kabur",NonClickbait
Heboh Video Syur Disebut Mirip Artis Diselidiki Polisi,Clickbait
4 Fakta Penusukan Pejabat Pemprov DKI Ternyata Terencana,Clickbait
"Herjunot Ali Tutup Bisnis Kuliner di Tokyo, Segini Kerugiannya!",Clickbait
Ini Hasil Sementara Investigasi soal 'Crazy Rich' Helena Lim Divaksin Duluan,Clickbait
"PPnBM Mobil 0% Mulai Maret, Segini Kisaran Avanza-Xpander Cs",Clickbait
"Cerita Bamsoet 4 Tahun Pakai Tesla, Sebulan Cuma Keluar Uang Rp 15 Ribu",NonClickbait
7 Fakta Tahun Baru Imlek: Kenapa Pakai Baju Merah?,Clickbait
"Imlek 2021 Tahun Kerbau Logam, Ini Ramalan Shio Paling Beruntung",Clickbait
Wow! Adaro Bakal Bangun Smelter Aluminium Rp 10 T,Clickbait
Manfaat Echinacea Purpurea untuk Cegah Infeksi Virus Corona,NonClickbait
"Sudah Sembuh 3 Bulan, 'Alumni' COVID-19 Boleh Vaksin? Ini Faktanya",Clickbait
"Tak Disangka-sangka, Ini Rute Penerbangan Internasional Tersibuk di Dunia",Clickbait
Pasien COVID-19 dengan 5 Penyakit Komorbid Ini Lebih Berisiko Reinfeksi,Clickbait
"Daftar 11 Drama Korea 2021 Tayang di tvN, Wajib Nonton",Clickbait
"Suniah Diterkam Buaya Saat Cari Kerang, Berhasil Selamat Setelah Ditarik Warga, Ini Kronologinya",Clickbait
"Tahun Baru Imlek, Ini 5 Restoran dan Waralaba yang Tawarkan Promo Menarik",Clickbait
"Apakah LCGC Juga Dapat Insentif Pajak 0 Persen, Simak Hitungannya",NonClickbait
"Ilmuwan Sebut Nenek Moyang T-Rex Ternyata Mungil, Tak Sampai 1 Meter!",Clickbait
"Potret Rumah Mewah Bos Sido Muncul, Luas Banget Bikin Orang Nyasar",Clickbait
Wow! Prostitusi Libatkan Selebgram Berhasil Dibongkar Polda Jateng,Clickbait
"8 Fakta AHY Jadi Sorotan: Pilgub DKI, Popularitas, Masalah Internal, hingga Intrik",Clickbait
"WOW! Suku Wanita Ini Hidup Tanpa Pria Namun Tetap Bisa Hamil, Ternyata Ini yang Mereka Lakukan",Clickbait
"Detik-detik Mahasiswa Unpatti Tewas Dikeroyok, Winda Sempat Membawa Sein Menumpang Angkot ke RS",NonClickbait
"Pria Mengamuk di Pemakaman Ibu yang Poistif Covid-19, Acungkan Pedang dan Ancam Bakar Mobil Petugas",NonClickbait
Polri Jadwalkan Pemeriksaan Saksi Lanjutan Terkait Cuitan Abu Janda Soal Islam Arogan,NonClickbait
"Gara-gara Tak Dipinjami Sepeda Motor, Seorang Kakak Tega Menebas Leher Adik Kandung Pakai Golok",NonClickbait
"Vaksin Covid-19: Sputnik V, buatan Rusia, sempat diragukan namun kini disetujui di 15 negara",NonClickbait
"Tahun Baru Imlek, Menteri Agama Doakan Masyarakat Tionghoa Bergelimang Berkah",NonClickbait
"Peringatan Dini BMKG Jumat, 12 Februari 2021: 4 Wilayah Berpotensi Hujan Petir & Angin Kencang",NonClickbait
Polri Pelajari Pelaporan Terhadap Novel Baswedan Soal Cuitan Meninggalnya Maaher At-Thuwailibi,NonClickbait
"Perempuan Ini Tiba-tiba Dicekik dan Nyaris Dirudapaksa, Tawarkan Uang Rp 1 Juta, Pelaku juga Curi HP",Clickbait
Fraksi PKS Desak Pemerintah Hapus Ketimpangan Listrik Nasional,NonClickbait
"1 Juta Lowongan PPPK bagi Guru Honorer Dibuka Pemerintah, Tak Ada Batasan Usia",NonClickbait
24 Tempat Wisata Bogor yang Paling Kekinian dan Instagramable,Clickbait
"70 Tempat Wisata Bandung Paling Hits Saat Ini, Disertai Tarif Masuk",Clickbait
"Jokowi: Jangan Sampai karena Virus Covid-19 Hanya Satu RT, yang di-lockdown Seluruh Kota",NonClickbait
"Ustaz Tengku Zulkarnain Ucapkan Selamat Tahun Baru Imlek, Ungkap Leluhur Dia yang Sesungguhnya",NonClickbait
"Asal Usul Penyebutan Imlek pada Tahun Baru China, Disertai Ucapan Imlek Selain Gong Xi Fa Cai",NonClickbait
"ASN Dilarang Bepergian saat Libur , Ini Sanksinya Bila Melanggar",Clickbait
"Tak Yakini BPJS Ketenagakerjaan Unrealized Lose, Kejagung: Apakah Analisanya Sebodoh Itu?",Clickbait
Pegawai ASN dan Keluarganya Dilarang Bepergian ke Luar Daerah Selama Periode 11-14 Februari 2021,NonClickbait
Kejagung Sebut Kerugian Negara Dalam Dugaan Korupsi BPJS Ketenagakerjaan Capai Rp 20 Triliun,NonClickbait
"Tanah Tersangka Asabri Benny Tjokrosaputro Kembali Disita, Total Menjadi 413 Hektar",NonClickbait
"ASN Dilarang Pergi ke Luar Kota saat Libur Imlek, Wajib Isi Absensi untuk Pengawasan",NonClickbait
"Jaringan Fiber Optik Palapa Ring Barat Terputus, Koneksi Internet di Natuna Mengalami Gangguan",NonClickbait
"Bukan Bos Djarum, Ini Orang Terkaya di RI Versi Sri Mulyani",Clickbait
"PKB: Anies Terancam, Risma Hampir Pasti Gubernur DKI Mendatang",NonClickbait
Tok! MA Vonis Mati Aulia Kesuma yang Bunuh Suami-Anak Tiri,Clickbait
"Kronologi Kecelakaan Maut BMW M4 di Singapura, 5 Orang Tewas",NonClickbait
"Mbappe Sangar! Pakai Bahasa Spanyol, Ancam Jordi Alba Begini",Clickbait
Jennifer Jill Akui Pemilik Sabu yang Disita Polisi,NonClickbait
"Jennifer Jill Tersangka Meski Urine Negatif Narkoba, Ini Penjelasan Polisi",Clickbait
Percakapan Lengkap Ribut-ribut Gerard Pique & Antoine Griezmann,NonClickbait
"Ramai 'Foto Gede Pangrango Tempelan', Sang Fotografer Kasih Bukti",NonClickbait
"Tesla Pilih Bikin Pabrik di India Dibanding Indonesia, Apa Alasannya?",Clickbait
"Gunung Gede Pangrango Terlihat Gagah dan Jelas dari Kemayoran, Ini Triknya",Clickbait
Deretan Gejala Corona Ini Paling Awet Dialami Pasien 'Long Covid',Clickbait
"Terungkap Kecantikan Nagita Slavina saat Kuliah, Rambut Pendeknya Manglingi",NonClickbait
Romantisnya Jennifer Jill dan Ajun Perwira saat Floating Breakfast dan Makan Malam,NonClickbait
BPOM Pantau Vaksin Nusantara Sel Dendritik yang Diprakarsai dr Terawan,NonClickbait
"Wow! Penjualan Tiket Film Spider-Man: No Way Home Bisa Tembus Rp 14,2 T",Clickbait
"Heboh di China, Ini Langkah RI Antisipasi Peredaran Vaksin Corona Palsu",Clickbait
"Diduga Diselingkuhi Ayus Sabyan, Ririe Fairuz Sempat Bertahan demi Anak",NonClickbait
Bocoran Pembagian Grup dan Tuan Rumah Piala Menpora 2021,NonClickbait
"Keburu Ditangkap dan Ditetapkan Tersangka, Hasil Tes Urine Jennifer Jill Negatif Narkoba",NonClickbait
"Tolak SKB Tiga Menteri, Kemendagri Tegur Wali Kota Pariaman",NonClickbait
